num_modules,num_memory_regions,num_private_regions,num_executable_regions,num_rw_regions,num_rx_regions,num_threads,num_handles,cpu_usage,working_set_mb,private_bytes_mb,io_read_mb,io_write_kb,entropy_mean,entropy_max,has_mz_header,has_pe_header,cross_process_writes_count,api_writeprocessmemory_count,api_createremotethread_count,ntqueueapc_present
50,785,123,0,123,0,10,262,0.0,4.41,17.95,0.1162,36.5568,-1.0,-1.0,0,0,1,4,0,1
216,2586,457,0,457,0,56,1683,0.195,109.36,105.81,3.6146,9.728,-1.0,-1.0,0,0,4,7,0,1
95,985,146,0,146,0,26,718,0.0,27.91,12.31,0.3844,67.072,-1.0,-1.0,0,0,1,4,0,1
55,506,38,0,38,0,3,197,0.0,14.28,3.85,2.4127,506.9824,-1.0,-1.0,0,0,1,4,0,1
79,799,105,0,105,0,8,379,0.0,17.62,4.9,0.04,0.6144,-1.0,-1.0,0,0,1,4,0,1
117,1016,48,0,48,0,6,354,0.0,32.46,8.14,0.825,100.1472,-1.0,-1.0,0,0,1,4,0,1
75,727,42,0,42,0,4,330,0.195,25.12,4.09,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
103,1230,139,0,139,0,16,654,0.0,50.43,52.94,0.0343,0.0,-1.0,-1.0,0,0,1,4,0,1
143,2169,547,0,547,0,36,1508,0.0,60.89,56.13,58733.5536,385206.4768,-1.0,-1.0,0,0,1,4,0,1
33,606,63,0,63,0,5,476,0.0,15.01,6.16,30.8828,8888.0128,-1.0,-1.0,0,0,1,4,0,1
29,274,20,0,20,0,4,109,0.0,5.9,1.45,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
53,543,40,0,40,0,5,253,0.0,13.37,3.2,0.6578,1.8432,-1.0,-1.0,0,0,1,4,0,1
74,647,50,0,50,0,6,310,0.0,16.57,4.67,0.628,6.9632,-1.0,-1.0,0,0,1,4,0,1
18,252,41,0,41,0,2,108,0.0,5.27,6.11,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
58,683,90,14,76,14,5,283,0.0,3.82,14.1,0.1222,0.0,3.1765,6.4218,0,0,1,4,0,1
38,421,25,0,25,0,1,167,0.0,10.09,2.26,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
78,1815,627,3,624,3,144,478,0.0,6.73,1069.44,146.1341,6.3488,5.5332,5.5821,0,0,1,4,0,1
132,2703,725,8,717,8,54,1618,0.0,147.12,151.25,112.5428,118686.0032,2.1214,5.4965,0,0,1,12,0,1
81,989,103,17,86,17,8,362,0.0,8.93,31.42,0.353,1.6384,2.5929,6.6622,0,0,1,4,0,1
40,521,65,0,65,0,7,199,0.0,28.9,10.48,0.005,0.1024,-1.0,-1.0,0,0,1,4,0,1
38,324,27,0,27,0,2,184,0.0,9.01,1.98,0.0014,1.1264,-1.0,-1.0,0,0,1,4,0,1
82,2305,728,1,727,1,37,705,0.0,97.61,163.73,125.3421,6111.744,0.5816,0.5816,0,0,1,4,0,1
51,1190,323,0,323,0,19,382,0.0,54.81,19.01,21.6913,70676.992,-1.0,-1.0,0,0,1,11,0,1
20,192,11,0,11,0,1,71,0.0,2.11,0.98,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
34,402,47,0,47,0,3,186,0.0,2.19,6.85,0.0001,0.0,-1.0,-1.0,0,0,1,4,0,1
74,1747,618,2,616,2,144,450,0.0,7.47,1067.3,0.9691,4.7104,5.5334,5.5796,0,0,1,5,0,1
55,469,24,1,23,1,5,233,0.0,13.68,2.91,0.163,261.8368,0.8092,0.8092,0,0,1,4,0,1
24,233,18,0,18,0,4,79,0.0,4.77,1.24,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
41,377,31,1,30,1,6,204,0.195,11.14,2.55,977.7375,20959.9488,0.7626,0.7626,0,0,2,4,0,1
24,234,18,0,18,0,4,79,0.0,4.77,1.23,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
59,509,26,1,25,1,5,226,0.0,13.02,3.84,0.0014,0.6144,0.029,0.029,0,0,1,4,0,1
203,2269,295,3,292,3,39,745,0.586,167.2,329.01,14902.3785,53153.9968,2.0867,4.9528,0,0,15,29,0,1
20,266,40,0,40,0,2,111,0.0,5.43,6.18,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
63,540,25,1,24,1,2,192,0.0,12.87,3.72,0.0002,1.7408,0.029,0.029,0,0,1,4,0,1
18,249,39,0,39,0,2,108,0.0,5.16,6.11,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
161,2567,750,0,750,0,6,834,0.0,53.38,44.92,1.2985,0.2048,-1.0,-1.0,0,0,1,4,0,1
67,731,52,0,52,0,3,320,0.0,25.09,5.79,0.1705,0.0,-1.0,-1.0,0,0,1,4,0,1
42,413,13,0,13,0,1,145,0.0,9.88,2.13,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
32,377,23,0,23,0,2,152,0.0,10.46,2.49,0.0071,0.0,-1.0,-1.0,0,0,1,4,0,1
62,748,53,0,53,0,2,310,0.0,28.08,8.39,0.8198,0.2048,-1.0,-1.0,0,0,1,4,0,1
41,2835,1146,5,1141,5,20,503,0.0,220.45,289.47,56.2941,154695.8848,1.3185,5.7013,0,0,4,18,0,1
22,257,20,0,20,0,1,144,0.0,8.96,1.66,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
56,726,163,0,163,0,18,382,0.0,26.66,28.27,207.0326,1474.7648,-1.0,-1.0,0,0,1,4,0,1
143,3563,1056,4,1052,4,60,1746,0.195,235.55,274.39,19404.7605,44787765.9648,2.7427,5.6904,0,0,4,13,0,1
31,457,65,0,65,0,7,209,0.0,30.99,11.1,0.0004,0.1024,-1.0,-1.0,0,0,1,4,0,1
66,2603,906,1,905,1,36,586,0.0,116.22,177.75,1675.0917,35004.8256,0.553,0.553,0,0,4,4,0,1
44,954,229,0,229,0,19,366,0.0,59.21,16.95,41.6349,176593.92,-1.0,-1.0,0,0,3,4,0,1
30,953,263,5,258,5,17,265,0.0,75.07,28.7,1.1612,269.6192,1.3191,5.7317,0,0,1,4,0,1
30,968,274,5,269,5,17,265,0.0,70.69,35.27,0.9117,173.9776,1.3324,5.7983,0,0,1,4,0,1
30,5759,2670,28,2642,28,18,388,0.0,669.29,693.84,37926.8896,21043822.7968,3.758,6.3478,0,0,1,4,0,1
73,1153,190,0,190,0,18,516,0.0,107.37,60.86,0.018,6.3488,-1.0,-1.0,0,0,1,4,0,1
38,648,105,1,104,1,8,239,0.0,89.85,12.04,0.0667,51.4048,0.4486,0.4486,0,0,1,4,0,1
47,941,274,0,274,0,21,463,0.0,14.37,7.8,236.0679,226.2016,-1.0,-1.0,0,0,5,17,0,1
53,539,25,0,25,0,2,299,0.0,15.87,2.91,0.1347,0.3072,-1.0,-1.0,0,0,1,4,0,1
73,714,29,0,29,0,4,284,0.0,16.8,5.6,0.0068,9.9328,-1.0,-1.0,0,0,1,4,0,1
40,493,55,0,55,0,4,219,0.0,12.07,2.99,0.0024,0.0,-1.0,-1.0,0,0,1,4,0,1
76,831,88,0,88,0,19,1336,0.0,21.75,6.08,1.0512,164.5568,-1.0,-1.0,0,0,3,4,0,1
54,584,48,0,48,0,5,267,0.0,13.18,3.1,0.6108,1.7408,-1.0,-1.0,0,0,1,4,0,1
8,159,25,0,25,0,1,88,0.0,7.75,1.39,31.2395,59.4944,-1.0,-1.0,0,0,1,4,0,1
8,156,25,0,25,0,1,94,0.0,5.4,2.07,37.4952,43.9296,-1.0,-1.0,0,0,1,4,0,1
123,2306,614,12,602,12,40,1315,31.82,10138.3,10386.34,22805.5966,70884412.8256,3.8127,7.1775,0,0,30,47,0,1
38,398,30,0,30,0,4,215,0.0,8.41,1.85,0.2418,914.432,-1.0,-1.0,0,0,1,4,0,1
35,415,38,0,38,0,3,152,0.0,13.74,2.4,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
100,1007,78,0,78,0,6,442,0.0,35.24,12.11,0.5326,369.8688,-1.0,-1.0,0,0,1,4,0,1
94,1358,380,0,380,0,19,799,0.0,38.91,35.5,5.873,327.8848,-1.0,-1.0,0,0,1,4,0,1
206,3980,1248,119,1129,119,63,2386,0.195,227.92,293.48,499.5652,118530.9696,1.0175,5.8725,0,0,1,4,0,1
31,464,43,0,43,0,5,211,0.0,11.92,3.3,1.4434,343.9616,-1.0,-1.0,0,0,1,4,0,1
48,554,49,1,48,1,2,221,0.0,13.18,3.5,0.018,0.0,3.3864,3.3864,0,1,1,4,0,1
43,604,158,1,157,1,13,212,0.0,18.24,30.64,6.5592,0.0,3.4031,3.4031,0,1,1,4,0,1
43,633,171,1,170,1,13,212,0.0,18.93,56.35,14.7165,0.0,3.4031,3.4031,0,1,1,4,0,1
30,1034,302,5,297,5,18,338,0.0,90.11,32.79,0.6571,282.624,0.1728,0.553,0,0,1,4,0,1
41,2272,876,5,871,5,20,420,0.0,243.84,159.91,34.7008,14178.6112,1.3261,5.739,0,0,5,6,0,1
0,0,0,0,0,0,0,0,0.0,0.1,0.14,0.0037,0.2048,-1.0,-1.0,0,0,0,0,0,0
150,3962,1109,0,1109,0,54,1748,0.0,189.53,79.71,39.0301,29411.5328,-1.0,-1.0,0,0,1,5,0,1
22,419,81,0,81,0,7,170,0.0,8.54,2.12,0.0023,0.2048,-1.0,-1.0,0,0,1,4,0,1
40,1037,200,2,198,2,12,325,0.0,50.51,13.41,23.6684,591.0528,0.8061,1.37,0,0,1,4,0,1
41,1124,283,0,283,0,21,371,0.0,41.67,15.57,6.4773,7082.1888,-1.0,-1.0,0,0,1,5,0,1
22,723,163,3,160,3,11,208,0.0,20.27,9.55,0.3189,99.4304,0.5299,1.37,0,0,1,4,0,1
21,956,253,3,250,3,14,221,0.0,33.59,22.98,0.1945,59.8016,0.3466,0.8682,0,0,1,4,0,1
21,1193,356,4,352,4,20,305,0.0,9.84,38.29,0.2877,515.2768,1.6379,5.5119,0,0,1,4,0,1
224,2674,449,3,446,3,79,1545,0.0,250.55,263.0,19.3742,18735.2064,0.3467,0.9797,0,0,1,4,0,1
221,4002,1182,9,1173,9,95,1716,0.0,601.83,1304.44,161.764,896.6144,4.1158,5.9057,0,0,1,4,0,1
98,1745,395,7,388,7,38,972,0.0,107.46,75.06,13.3753,965.0176,1.8244,5.5842,0,0,4,6,0,1
