meta_timestamp,meta_process_name,meta_pid,meta_process_path,proc_integrity,proc_elevated,proc_enabled_privilege_count,proc_module_count,proc_region_count,mod_non_file_backed_count,mem_exec_private_count,mem_mz_in_private_count,mem_high_entropy_exec_count,mem_max_exec_entropy,mem_avg_exec_entropy,alloc_total_private_committed,alloc_exec_count,alloc_mz_or_pe_count,prot_total_changes,prot_gained_exec_count,prot_lost_write_count,write_changed_region_count,write_confirmed_writer_count,nt_direct_import_count,nt_high_value_import_count,nt_syscall_stub_count,nt_hook_count,thread_total,thread_in_private_exec,rthread_new_count,rthread_from_external,mmap_anomalous_count,mmap_no_file_backing,mmap_not_in_win32,mmap_not_in_ldr,handle_external_total,handle_dangerous_count,handle_has_vm_write,handle_has_create_thread,handle_has_all_access,api_virtual_alloc_count,api_virtual_protect_count,api_protect_exec_count,api_write_memory_count,api_create_thread_count,api_total_events,perf_cpu_percent,perf_working_set_mb,perf_private_bytes_mb,perf_handle_count,perf_thread_count,perf_io_read_mb,perf_io_write_mb,sample_total_captured,sample_mz_header_count,sample_syscall_stub_count,sample_shellcode_hint_count
2026-04-29T19:41:09,MSI.CentralServer.exe,4636,C:\Program Files (x86)\MSI\MSI Center\MSI.CentralServer.exe,4,1,18,140,1899,0,33,0,0,6.685,4.5142,267,33,0,0,0,0,1,0,1036,8,35,0,23,0,0,0,165,0,30,165,2,1,1,1,1,0,0,0,4,0,4,0.0,62.66,53.66,1388,23,4.0166,0.1159,186,165,0,0
2026-04-29T19:41:16,conhost.exe,5320,C:\Windows\System32\conhost.exe,4,1,16,20,279,0,0,0,0,-1,-1,44,0,0,0,0,0,1,0,165,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,4.48,6.21,119,3,0.0,0.0,1,0,0,0
2026-04-29T19:41:22,WmiPrvSE.exe,5836,C:\Windows\SysWOW64\wbem\WmiPrvSE.exe,4,1,16,39,452,0,0,0,0,-1,-1,46,0,0,0,0,0,1,0,657,7,0,0,5,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,4,0,4,0.0,11.97,5.25,371,5,0.0,0.0,35,34,0,0
2026-04-29T19:41:29,vmcompute.exe,4224,C:\Windows\System32\vmcompute.exe,4,1,16,36,373,0,0,0,0,-1,-1,22,0,0,0,0,0,1,0,245,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,9.73,2.47,174,4,0.0,0.0,1,0,0,0
2026-04-29T19:41:35,svchost.exe,6192,C:\Windows\System32\svchost.exe,4,1,4,32,418,0,0,0,0,-1,-1,62,0,0,0,0,0,1,0,212,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,6.9,2.1,161,3,0.0,0.0,1,0,0,0
2026-04-29T19:41:42,dasHost.exe,6336,C:\Windows\System32\dasHost.exe,4,1,3,18,204,0,0,0,0,-1,-1,11,0,0,0,0,0,1,0,143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,3.38,0.97,98,1,0.0,0.0,1,0,0,0
2026-04-29T19:41:49,svchost.exe,6364,C:\Windows\System32\svchost.exe,4,1,3,86,996,0,0,0,0,-1,-1,113,0,0,0,0,0,1,0,404,2,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,4,0.0,31.65,10.04,851,7,0.9359,0.1915,1,0,0,0
2026-04-29T19:41:55,CorsairCpuIdService.exe,6732,E:\Program Files\Icue\Corsair iCUE5 Software\Corsair iCUE5 Software\CorsairCpuIdService.exe,4,1,19,130,2431,0,1,0,0,0.8092,0.8092,1370,1,0,0,0,0,10,0,623,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,1.171,43.47,100.52,582,25,237.61,779.7602,11,0,0,0
2026-04-29T19:42:02,crashpad_handler.exe,7052,E:\Program Files\Icue\Corsair iCUE5 Software\Corsair iCUE5 Software\crashpad_handler.exe,4,1,16,24,234,0,0,0,0,-1,-1,18,0,0,0,0,0,1,0,135,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,3.68,1.23,79,4,0.0,0.0,1,0,0,0
2026-04-29T19:42:08,unsecapp.exe,7424,C:\Windows\System32\wbem\unsecapp.exe,4,1,18,51,528,0,0,0,0,-1,-1,41,0,0,0,0,0,1,0,290,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,0.0,12.04,2.91,252,5,0.6578,0.0018,1,0,0,0
2026-04-29T19:42:15,WmiApSrv.exe,8136,C:\Windows\System32\wbem\WmiApSrv.exe,4,1,16,38,396,0,0,0,0,-1,-1,20,0,0,0,0,0,1,0,192,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,7.84,2.0,188,3,0.0,0.0,1,0,0,0
2026-04-29T19:42:22,Malwarebytes.exe,8100,C:\Program Files\Malwarebytes\Anti-Malware\Malwarebytes.exe,2,0,1,261,3148,0,36,0,0,6.299,4.3331,703,36,0,0,0,0,7,7,586,4,211,0,19,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,10,0,10,0.781,234.9,205.08,861,19,3.2611,0.166,27,0,0,2
2026-04-29T19:42:28,GameInputRedistService.exe,7604,C:\Program Files\Microsoft GameInput\x64\GameInputRedistService.exe,2,0,1,46,426,0,0,0,0,-1,-1,11,0,0,0,0,0,1,1,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,9.06,2.07,210,1,0.0308,0.0,1,0,0,0
2026-04-29T19:42:35,ArmouryCrate.UserSessionHelper.exe,7632,C:\Program Files\ASUS\Armoury Crate Service\ArmouryCrate.UserSessionHelper.exe,3,1,5,145,1541,0,14,0,0,4.3973,1.6225,251,14,0,0,0,0,2,0,494,2,0,0,78,0,0,0,5,0,5,5,1,0,0,0,0,0,0,0,4,0,4,0.0,49.3,25.5,996,78,47.2024,206.3694,21,5,0,0
2026-04-29T19:42:42,conhost.exe,4316,C:\Windows\System32\conhost.exe,3,1,3,20,269,0,0,0,0,-1,-1,42,0,0,0,0,0,1,0,159,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,4.23,6.19,105,2,0.0,0.0,1,0,0,0
2026-04-29T19:42:48,svchost.exe,7268,C:\Windows\System32\svchost.exe,2,0,1,165,1853,0,0,0,0,-1,-1,213,0,0,0,0,0,1,1,668,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,60.44,19.56,1098,9,307.3943,22.5457,1,0,0,0
2026-04-29T19:42:55,sihost.exe,7644,C:\Windows\System32\sihost.exe,2,0,1,93,899,0,0,0,0,-1,-1,43,0,0,0,0,0,1,1,545,1,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0.0,37.72,9.98,1260,9,1.5297,0.0,1,0,0,0
2026-04-29T19:43:02,ArmourySocketServer.exe,8224,C:\Program Files (x86)\ASUS\ArmouryDevice\dll\ArmourySocketServer\ArmourySocketServer.exe,3,1,3,38,373,0,0,0,0,-1,-1,48,0,0,0,0,0,1,1,281,2,0,0,16,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,4,0,4,0.0,4.4,3.04,203,16,0.0524,0.0,1,0,0,0
